#{"t_start": 1770891971.5386417, "env_id": "None"}
r,l,t
-75574.32,9951,5056.440656
-66030.3,10001,5059.128136
-69428.63,9951,5060.948857
-207228.92,10001,5091.007298
-48667.375,10001,5094.865234
-51089.3,9951,5102.176945
-85.75083,1,5102.202132
-106.480156,1,5102.425614
-40321.746,9951,5105.448587
-39491.59,9952,5115.142148
-43765.438,10001,5118.132416
-66797.484,10001,5128.028532
-124110.93,10001,5131.039447
-92.60549,1,5131.063422
-58027.016,4988,5135.246211
-62626.41,9952,5141.474001
-52219.383,9952,5148.123927
-37997.027,9952,5157.278513
-46065.223,9952,5180.248547
-43317.81,9952,5182.929678
-96535.125,9952,5186.001663
-38234.91,9952,5194.349774
-48924.24,9952,5196.309157
